"Resource ID(s)","Resource type","Status","Contributed by","Document extract","Title","Caption","Keywords - Subject","Keywords - Emotion","Keywords - Event","Keywords - Other","Named person(s)","Country","Date","Original filename","Extracted text","Credit","Notes","Keywords - Recognised","Keywords - Landmark","Accessibility - Alt Text","Accessibility - Extended Description","Camera make / model","Source"
3494,"Document","Active","Thomas Huet","","Aqaba 1","lat=29.5214545883, lon=35.0018998665","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0290.tif","","AQABA 1","","","","","","",""
3493,"Document","Active","Thomas Huet","","South-west Ruweisat el-Khalde","SL98/41.36, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0288.tif","","KHIRBET EL-KHALDI?","","","","","","",""
3492,"Document","Active","Thomas Huet","","Aqaba 1","lat=29.5214545883, lon=35.0018998665","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0289.tif","","AQABA 1","","","","","","",""
3491,"Document","Active","Thomas Huet","","South-west Ruweisat el-Khalde","SL98/41.35, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0287.tif","","KHIRBET EL-KHALDI?","","","","","","",""
3490,"Document","Active","Thomas Huet","","RAMM - KHALDI","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0286.tif","","RAMM - KHALDI","","","","","","",""
3489,"Document","Active","Thomas Huet","","RAMM","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0285.tif","","RAMM","","","","","","",""
3488,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0283.tif","","RAMM","","","","","","",""
3487,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0284.tif","","RAMM","","","","","","",""
3486,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0281.tif","","RAMM","","","","","","",""
3485,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0282.tif","","RAMM","","","","","","",""
3484,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0280.tif","","RAMM","","","","","","",""
3483,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0278.tif","","RAMM","","","","","","",""
3482,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0279.tif","","RAMM","","","","","","",""
3481,"Document","Active","Thomas Huet","","Ramm","lat=29.5780638889, lon=35.4153027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0277.tif","","RAMM","","","","","","",""
3480,"Document","Active","Thomas Huet","","KITHARA - RAMM","SL98/41.24, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0276.tif","","KITHARA - RAMM","","","","","","",""
3478,"Document","Active","Thomas Huet","","KITHARA - RAMM","SL98/41.22, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0274.tif","","KITHARA - RAMM","","","","","","",""
3479,"Document","Active","Thomas Huet","","KITHARA - RAMM","SL98/41.23, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0275.tif","","KITHARA - RAMM","","","","","","",""
3477,"Document","Active","Thomas Huet","","KITHARA - RAMM","SL98/41.21, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0273.tif","","KITHARA - RAMM","","","","","","",""
3476,"Document","Active","Thomas Huet","","KITHARA - RAMM","SL98/41.19, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0271.tif","","KITHARA - RAMM","","","","","","",""
3475,"Document","Active","Thomas Huet","","KITHARA - RAMM","SL98/41.20, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0272.tif","","KITHARA - RAMM","","","","","","",""
3474,"Document","Active","Thomas Huet","","Kh. el-Kithara","""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111; SL98/41.17, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0269.tif","","KHIRBET EL-KITHARA","","","","","","",""
3473,"Document","Active","Thomas Huet","","Kh. el-Kithara","""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111; SL98/41.18, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0270.tif","","KHIRBET EL-KITHARA","","","","","","",""
3472,"Document","Active","Thomas Huet","","Kh. el-Kithara","""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111; SL98/41.14, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0266.tif","","KHIRBET EL-KITHARA","","","","","","",""
3471,"Document","Active","Thomas Huet","","Kh. el-Kithara","""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111; SL98/41.16, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0268.tif","","KHIRBET EL-KITHARA","","","","","","",""
3470,"Document","Active","Thomas Huet","","Kh. el-Kithara","""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111; SL98/41.15, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0267.tif","","KHIRBET EL-KITHARA","","","","","","",""
3469,"Document","Active","Thomas Huet","","Kh. el-Kithara","SL98/41.12, JF, ""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0264.tif","","KHIRBET EL-KITHARA","","","","","","",""
3468,"Document","Active","Thomas Huet","","SOUTH OF QUWEIRA","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0263.tif","","SOUTH OF QUWEIRA","","","","","","",""
3467,"Document","Active","Thomas Huet","","SOUTH OF QUWEIRA","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0261.tif","","SOUTH OF QUWEIRA","","","","","","",""
3466,"Document","Active","Thomas Huet","","Kh. el-Kithara","""Kh. el-Kithara"" lat=29.5442805556, lon=35.1349361111; SL98/41.13, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0265.tif","","KHIRBET EL-KITHARA","","","","","","",""
3465,"Document","Active","Thomas Huet","","SOUTH OF QUWEIRA","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0262.tif","","SOUTH OF QUWEIRA","","","","","","",""
