"ResourceID","Geometric Place Expression","Location Certainty","Geometry Extent Certainty","Geometry Type"
"e4c9bf4b-c7da-426e-a878-e7b1ffe1130e","MULTIPOLYGON (((57.03659 30.73859, 57.03682 30.73836, 57.03707 30.73853, 57.03685 30.73876, 57.03659 30.73859)))","Medium","Medium","Perimeter Polygon"
"fa25e36e-47c1-4bb4-bc7b-c14d2fb020d0","MULTIPOLYGON (((54.89758 31.27365, 54.89789 31.27332, 54.89821 31.27353, 54.89791 31.27386, 54.89758 31.27365)))","Medium","Medium","Perimeter Polygon"
"8527c7ea-bf9b-46d7-9191-fbdddfbdb0f7","MULTIPOLYGON (((54.2722 31.95102, 54.2725 31.95085, 54.27284 31.95125, 54.27257 31.95144, 54.2722 31.95102)))","Medium","Medium","Perimeter Polygon"
"c708f2d0-f17e-4619-9fca-a0ed18af8f6d","MULTIPOLYGON (((56.25756 36.36652, 56.25778 36.36616, 56.25822 36.36633, 56.25798 36.36671, 56.25756 36.36652)))","Medium","Medium","Perimeter Polygon"
"1fc27b2a-1f04-4596-b264-e6b09677f0c7","MULTIPOLYGON (((55.66312 30.54682, 55.66351 30.54636, 55.66405 30.54668, 55.66369 30.54713, 55.66312 30.54682)))","Medium","Medium","Perimeter Polygon"
"1b22ca99-787d-4d4f-8213-d1da6ec2609f","MULTIPOLYGON (((56.12955 30.34714, 56.12987 30.34685, 56.13022 30.34719, 56.12987 30.34744, 56.12955 30.34714)))","Medium","Medium","Perimeter Polygon"
"5bf57513-0d1e-4869-9c88-e94fa0ba1956","MULTIPOLYGON (((54.47663 32.15318, 54.4771 32.15283, 54.47757 32.15329, 54.47707 32.15363, 54.47663 32.15318)))","Medium","Medium","Perimeter Polygon"
"8e9611d2-6183-4234-95f8-9ca1f1e046db","MULTIPOLYGON (((54.14339 36.02793, 54.14348 36.02731, 54.14418 36.02734, 54.1441 36.02799, 54.14339 36.02793)))","Medium","Medium","Perimeter Polygon"
"8e19b454-344e-4917-b2c4-1d0453039de5","MULTIPOLYGON (((55.36034 36.42877, 55.36067 36.42862, 55.36083 36.4289, 55.36051 36.42902, 55.36034 36.42877)))","Medium","Medium","Perimeter Polygon"
"e0bf85c3-0fd6-41cc-82bd-a923f2658fbe","MULTIPOLYGON (((53.80398 32.32865, 53.8042 32.32896, 53.80379 32.32916, 53.80357 32.32885, 53.80398 32.32865)))","Medium","Medium","Perimeter Polygon"
"7bef778c-3426-418c-bf0c-7110f5e31d13","MULTIPOLYGON (((54.01779 32.31873, 54.0178 32.31875, 54.0178 32.31878, 54.01781 32.31884, 54.01782 32.31893, 54.01785 32.3191, 54.01785 32.31931, 54.01757 32.31939, 54.01746 32.31931, 54.01739 32.31876, 54.01779 32.31872, 54.01779 32.31873)))","Medium","Medium","Perimeter Polygon"
"1a02f2dc-0bf2-448a-973a-2c6c8513afaf","MULTIPOLYGON (((53.50051 32.54269, 53.50095 32.54239, 53.50123 32.54271, 53.50079 32.54301, 53.50051 32.54269)))","Medium","Medium","Perimeter Polygon"
"591379fd-83da-4da4-bba8-0d482c2455f9","MULTIPOLYGON (((54.11891 32.10551, 54.11933 32.10509, 54.1195 32.10523, 54.11912 32.10566, 54.11891 32.10551)))","Medium","Medium","Perimeter Polygon"
"e090199a-93f4-423d-a031-9a51a8d79d05","MULTIPOLYGON (((59.72302 29.47857, 59.72333 29.47826, 59.72371 29.47855, 59.72342 29.47886, 59.72302 29.47857)))","Medium","Medium","Perimeter Polygon"
"d5497e70-5f2c-4fae-8baf-606bf65c505d","MULTIPOLYGON (((60.87317 29.49691, 60.87269 29.49705, 60.87251 29.49654, 60.873 29.49641, 60.87317 29.49691)))","Medium","Medium","Perimeter Polygon"
"59e9dc7b-9133-473d-9f4c-8cbd192bebc3","MULTIPOLYGON (((54.55095 36.22852, 54.55126 36.22801, 54.55179 36.22825, 54.55147 36.22872, 54.55095 36.22852)))","Medium","Medium","Perimeter Polygon"
"e04cb975-0bc6-44e8-b4a6-f5af48c90608","MULTIPOLYGON (((59.44418 29.287, 59.44411 29.28684, 59.44417 29.2867, 59.44436 29.28663, 59.44454 29.28668, 59.44461 29.28683, 59.44455 29.28701, 59.44436 29.28708, 59.44418 29.287)))","Medium","Medium","Perimeter Polygon"
"8f4f9f0f-e7eb-474d-8392-5e0ddbc7d6f0","MULTIPOLYGON (((53.16839 32.831, 53.16851 32.83063, 53.16887 32.83071, 53.16875 32.83109, 53.16839 32.831)))","Medium","Medium","Perimeter Polygon"
"f48c8ebf-7dfd-4134-a8c7-d0ebcbd96e4b","MULTIPOLYGON (((57.58977 29.5283, 57.59023 29.52775, 57.59082 29.52817, 57.59037 29.52871, 57.58977 29.5283)))","Medium","Medium","Perimeter Polygon"
"0ccc8d9c-879b-469e-8290-d6aae32205c7","MULTIPOLYGON (((57.46114 29.90233, 57.46087 29.90234, 57.46087 29.90208, 57.46115 29.90207, 57.46114 29.90233)))","Medium","Medium","Perimeter Polygon"
"8a5f9f98-07fd-45a8-917f-a2f7c6293d7c","MULTIPOLYGON (((60.69983 30.15893, 60.69999 30.15864, 60.70032 30.15876, 60.70014 30.15906, 60.69983 30.15893)))","Medium","Medium","Perimeter Polygon"
"7c07a343-938a-4abb-ac20-49ee56b9f361","MULTIPOLYGON (((54.38013 36.15622, 54.37905 36.15602, 54.37932 36.15515, 54.38039 36.15539, 54.38013 36.15622)))","Medium","Medium","Perimeter Polygon"
"37b30e00-61b3-41f7-b745-9835340e4f6c","MULTIPOLYGON (((58.12479 29.18099, 58.12505 29.18079, 58.12532 29.18102, 58.12508 29.18123, 58.12479 29.18099)))","Medium","Medium","Perimeter Polygon"
"8529fa6a-27bd-4d32-a302-4a83c4437128","MULTIPOLYGON (((59.78833 29.65729, 59.78865 29.65711, 59.7888 29.65733, 59.78849 29.65754, 59.78833 29.65729)))","Medium","Medium","Perimeter Polygon"
"62ae715c-307c-4d18-9a23-64d084b51b46","MULTIPOLYGON (((57.62929 29.69911, 57.62929 29.69882, 57.62966 29.69883, 57.62963 29.69912, 57.62929 29.69911)))","Medium","Medium","Perimeter Polygon"
"1f133163-1a93-45ca-9ce9-40f571e95a54","MULTIPOLYGON (((53.28927 35.41336, 53.29005 35.41302, 53.29053 35.41373, 53.28975 35.41409, 53.28927 35.41336)))","Medium","Medium","Perimeter Polygon"
"b4c990c8-b2e5-464a-8ff0-36294c41427b","MULTIPOLYGON (((57.2908 30.06039, 57.29096 30.05988, 57.29149 30.06, 57.29131 30.06053, 57.2908 30.06039)))","Medium","Medium","Perimeter Polygon"
"a9a6bf6e-4cec-48e8-bd34-c7e92b96f4fe","MULTIPOLYGON (((54.53741 31.6061, 54.5376 31.60577, 54.53801 31.60592, 54.53783 31.60626, 54.53741 31.6061)))","Medium","Medium","Perimeter Polygon"
"1ad11bea-751f-48ff-854c-0962862f142b","MULTIPOLYGON (((54.18031 36.0706, 54.18035 36.07026, 54.18083 36.07022, 54.18085 36.07063, 54.18031 36.0706)))","Medium","Medium","Perimeter Polygon"
"0dd87c7b-e624-4876-9cf6-d36f3816778c","MULTIPOLYGON (((55.99187 30.40749, 55.99139 30.40716, 55.9918 30.40671, 55.99243 30.40706, 55.99187 30.40749)))","Medium","Medium","Perimeter Polygon"
"3dfe0bf4-a6b1-4b16-9ede-5b37f1bce01f","MULTIPOLYGON (((56.82228 31.36291, 56.82249 31.36265, 56.82278 31.36281, 56.82258 31.36307, 56.82228 31.36291)))","Medium","Medium","Perimeter Polygon"
"5a893795-7fcb-43f6-9177-118285961a31","MULTIPOLYGON (((54.88855 31.76093, 54.88861 31.76072, 54.88883 31.76077, 54.88878 31.76098, 54.88855 31.76093)))","Medium","Medium","Perimeter Polygon"
"f3bed9ac-b1ff-4ba9-8b41-803e91aa7c1e","MULTIPOLYGON (((54.1592 35.94544, 54.15848 35.94558, 54.15832 35.94498, 54.15891 35.94488, 54.15969 35.94475, 54.15983 35.94535, 54.1592 35.94544)))","Medium","Medium","Perimeter Polygon"
"8cae8de4-a7f9-4701-9e35-65a36861f113","MULTIPOLYGON (((60.70031 30.16012, 60.70055 30.15981, 60.70088 30.16005, 60.70058 30.16033, 60.70031 30.16012)))","Medium","Medium","Perimeter Polygon"
"f1cced94-2809-4210-8d30-1f22823f6efe","MULTIPOLYGON (((59.37585 32.86675, 59.37554 32.86666, 59.37565 32.86642, 59.376 32.86652, 59.37585 32.86675)))","Medium","Medium","Perimeter Polygon"
"6597f8b6-a2fd-479c-bb7e-598ce9bef02b","MULTIPOLYGON (((59.85436 35.71636, 59.85386 35.71595, 59.85442 35.71553, 59.85493 35.71593, 59.85436 35.71636)))","Medium","Medium","Perimeter Polygon"
"27fb42e9-1139-4a9d-bee0-2dd30ef0b1f3","MULTIPOLYGON (((59.31358 35.99979, 59.31364 36.00007, 59.31336 36.00012, 59.31325 35.99988, 59.31358 35.99979)))","Medium","Medium","Perimeter Polygon"
"84283701-47b9-4867-9579-10c7ba81f90c","MULTIPOLYGON (((58.22607 34.38158, 58.22633 34.38136, 58.22669 34.38164, 58.22643 34.38187, 58.22607 34.38158)))","Medium","Medium","Perimeter Polygon"
"b5171718-4c76-44ad-b3f4-40a6e93191a8","MULTIPOLYGON (((58.51774 33.85521, 58.51803 33.85504, 58.5183 33.85532, 58.51799 33.85551, 58.51774 33.85521)))","Medium","Medium","Perimeter Polygon"
"200cfb4d-78c2-4fd7-8fdc-b8603b73bc6f","MULTIPOLYGON (((59.21729 35.27049, 59.21775 35.27016, 59.21774 35.27017, 59.21773 35.27018, 59.21821 35.27056, 59.21777 35.27088, 59.21729 35.27049)))","Medium","Medium","Perimeter Polygon"
"63d87600-c7fd-41dd-9e1a-06851b848292","MULTIPOLYGON (((58.77592 35.01094, 58.77642 35.01064, 58.77681 35.01112, 58.77639 35.01137, 58.77592 35.01094)))","Medium","Medium","Perimeter Polygon"
"3af4b8e8-8caa-44ec-b240-e434313cc553","MULTIPOLYGON (((59.06127 36.10745, 59.06086 36.10708, 59.06132 36.10679, 59.0618 36.10717, 59.06127 36.10745)))","Medium","Medium","Perimeter Polygon"
"aaeba0fa-6149-4bec-a59e-b82f9246cbba","MULTIPOLYGON (((58.44317 34.80608, 58.44277 34.80606, 58.4428 34.80561, 58.4432 34.80562, 58.44317 34.80608)))","Medium","Medium","Perimeter Polygon"
"d31b6469-1c12-437f-9062-fb1e1af312a2","MULTIPOLYGON (((58.05495 34.74447, 58.05541 34.74423, 58.05576 34.74467, 58.0553 34.74492, 58.05495 34.74447)))","Medium","Medium","Perimeter Polygon"
"40a89640-79d1-45a8-b6c2-da5c84df7783","MULTIPOLYGON (((57.97801 35.37704, 57.97764 35.37699, 57.97776 35.37652, 57.97805 35.37655, 57.97801 35.37704)))","Medium","Medium","Perimeter Polygon"
"275db96c-ced1-49cb-b749-0c94f0b38f9a","MULTIPOLYGON (((60.62389 35.24, 60.62399 35.23959, 60.62442 35.23967, 60.6243 35.24007, 60.62389 35.24)))","Medium","Medium","Perimeter Polygon"
"df6d86dd-8237-41f2-a882-2b6095413b40","MULTIPOLYGON (((56.49659 33.73936, 56.49696 33.73917, 56.4972 33.73951, 56.49682 33.73967, 56.49659 33.73936)))","Medium","Medium","Perimeter Polygon"
"a05b915f-98df-48fd-9cf8-3f31ab6fbf75","MULTIPOLYGON (((56.97893 33.99151, 56.97915 33.99128, 56.97947 33.9915, 56.97924 33.99172, 56.97893 33.99151)))","Medium","Medium","Perimeter Polygon"
"e379e1af-e9bf-4fa1-ba9e-2ee7feb18040","MULTIPOLYGON (((57.35175 34.30228, 57.35227 34.30204, 57.35256 34.30248, 57.35204 34.30271, 57.35175 34.30228)))","Medium","Medium","Perimeter Polygon"
"c6aae084-f75f-472e-9ffb-3340cdd1e393","MULTIPOLYGON (((59.38633 35.78179, 59.38654 35.78152, 59.3871 35.78173, 59.38692 35.78203, 59.38633 35.78179)))","Medium","Medium","Perimeter Polygon"
"05efae06-5b7d-467a-8442-a42f40d7eeff","MULTIPOLYGON (((59.50481 36.02768, 59.50513 36.02726, 59.50562 36.02753, 59.5053 36.02795, 59.50481 36.02768)))","Medium","Medium","Perimeter Polygon"
"51ba79d6-6a5b-4734-9d28-affc1e1d3495","MULTIPOLYGON (((59.76055 35.99169, 59.76101 35.9913, 59.76157 35.99172, 59.7611 35.99212, 59.76055 35.99169)))","Medium","Medium","Perimeter Polygon"
"57468581-de95-4ebc-ac5d-a633d1fd238c","MULTIPOLYGON (((56.94591 31.67116, 56.94555 31.67101, 56.94575 31.67069, 56.94611 31.67083, 56.94591 31.67116)))","Medium","Medium","Perimeter Polygon"
"019cf445-fe40-470b-bf2e-fa4922b8f1a6","MULTIPOLYGON (((56.94479 31.6702, 56.94522 31.6702, 56.94523 31.67048, 56.9448 31.67049, 56.94479 31.6702)))","Medium","Medium","Perimeter Polygon"
"296a68fb-1745-4b16-ad58-1f0e0b935bf3","MULTIPOLYGON (((57.67528 32.96986, 57.67506 32.96965, 57.67536 32.96942, 57.67554 32.96963, 57.67528 32.96986)))","Medium","Medium","Perimeter Polygon"
"03ee9f29-8378-42a3-bbcd-90f5aaf72a20","MULTIPOLYGON (((58.96346 35.13233, 58.9637 35.13201, 58.96418 35.13231, 58.96391 35.1326, 58.96346 35.13233)))","Medium","Medium","Perimeter Polygon"
"a65e1ed3-a569-47bf-92f4-9da597f8f0fa","MULTIPOLYGON (((60.718 34.99556, 60.71861 34.99553, 60.71864 34.99608, 60.71802 34.99611, 60.718 34.99556)))","Medium","Medium","Perimeter Polygon"
"ff10dc41-6d4e-47a4-a4cc-b6992ef33c78","MULTIPOLYGON (((58.45757 35.2353, 58.45721 35.2355, 58.45696 35.23507, 58.45732 35.23487, 58.45757 35.2353)))","Medium","Medium","Perimeter Polygon"
"474fcb33-5293-465d-8fe5-bb3b9b472678","MULTIPOLYGON (((60.23576 35.52871, 60.23535 35.52895, 60.23512 35.5287, 60.23552 35.52846, 60.23576 35.52871)))","Medium","Medium","Perimeter Polygon"
"461698f9-d6b5-4bea-80f9-ceeeee0ddd2c","MULTIPOLYGON (((57.84919 34.51761, 57.84958 34.51733, 57.84994 34.51767, 57.84953 34.51796, 57.84919 34.51761)))","Medium","Medium","Perimeter Polygon"
"c9474328-9a3f-4756-a7be-ba2e41996844","MULTIPOLYGON (((56.80393 33.71919, 56.80438 33.71887, 56.80479 33.71929, 56.80434 33.71959, 56.80393 33.71919)))","Medium","Medium","Perimeter Polygon"
"e5487524-5d1e-47fb-ae1f-d690ab6e3bce","MULTIPOLYGON (((57.51132 33.26822, 57.51163 33.26827, 57.51156 33.26855, 57.51125 33.26848, 57.51132 33.26822)))","Medium","Medium","Perimeter Polygon"
"65bd6b92-6a95-4e9f-b1fa-775e59419a7b","MULTIPOLYGON (((57.51069 33.28738, 57.51093 33.28763, 57.51064 33.28783, 57.51039 33.28758, 57.51069 33.28738)))","Medium","Medium","Perimeter Polygon"
"42bbf5fd-1405-4b58-ae2c-827e5580c57b","MULTIPOLYGON (((60.35123 36.07629, 60.3513 36.07512, 60.35246 36.07519, 60.35242 36.07634, 60.35123 36.07629)))","Medium","Medium","Perimeter Polygon"
"cd692205-4da3-4abb-9896-7756893bfa0e","MULTIPOLYGON (((57.14018 31.94011, 57.14034 31.93983, 57.14067 31.93999, 57.14048 31.94026, 57.14018 31.94011)))","Medium","Medium","Perimeter Polygon"
"057276fa-e271-4fa6-8b75-1952bd3b4007","MULTIPOLYGON (((59.43387 36.06132, 59.43387 36.06132, 59.43388 36.06131, 59.43388 36.06131, 59.43389 36.0613, 59.4339 36.0613, 59.43389 36.0613, 59.43413 36.06135, 59.43409 36.06159, 59.43362 36.06155, 59.43366 36.06111, 59.43388 36.06113, 59.43387 36.06132)))","Medium","Medium","Perimeter Polygon"
