"ea.uuid"	"ea.name"	"ea.duration.taq"	"ea.duration.tpq"
"88f3f8f8-4210-4662-9d95-c5697ca2ef5f"	"Neolithic, Late/Ceramic (Northern Iran)"	"-6200"	"-5200"
"3b64b2f3-e7bc-4cb3-9670-a45013c34f14"	"Neolithic, Late/Ceramic (Central Zagros/Khuzestan, Iran)"	"-7000"	"-6000"
"60e41f61-ccd7-4239-bce0-bdc01b12eca7"	"Neolithic, Early/Aceramic/Pre-pottery (Northeast Iran)"	"-7000"	"-6200"
"0b9cef5e-6fd8-4121-bbc6-9e0d64e94d00"	"Neolithic, Early/Aceramic/Pre-pottery (Khuzestan, Iran)"	"-7600"	"-7000"
"a533bad2-a548-42e2-a022-47d742266766"	"Neolithic, Late/Ceramic (Southeast Iran)"	"-5500"	"-5000"
"eeafe5f3-2529-42cc-a8f1-66581a565af3"	"Neolithic, Late/Ceramic (Southern Zagros, Iran)"	"-6300"	"-5000"
"59f266a3-b1b4-473f-80b6-fdf90d56e5f3"	"Neolithic, Early/Aceramic/Pre-pottery (Central Zagros, Iran)"	"-8500"	"-7000"
"541e7028-2b9c-4a3c-9e94-7b69d38cc027"	"Neolithic, Early/Aceramic/Pre-pottery (Southern Zagros, Iran)"	"-7100"	"-6300"
"0595f91f-a8c6-44ec-977d-8f0b8d996a59"	"Roman/Byzantine (Levant/Mesopotamia)"	"-31"	"640"
"6c935ae9-c001-490f-bb0d-1b586e0faa83"	"Parthian (Levant/Mesopotamia/Iran/Northern Arabia)"	"-250"	"225"
"f6f49f7f-198f-4b5e-b6ef-8ae1b34845cf"	"Nabataean (Levant/Northern Arabia)"	"-100"	"400"
"477c6a1d-3af1-47cd-aa87-d10662bcc2e9"	"Byzantine (Levant/Mesopotamia)"	"400"	"640"
"4e5e3766-8c62-4f73-b794-508532ac96d9"	"Sasanian (Levant/Mesopotamia/Iran/Northern Arabia)"	"225"	"640"
"d433732f-a9f3-4ba0-84dd-55c50c3133e0"	"Chalcolithic, Late Bakun/Yahya VA (Southern Iran)"	"-4400"	"-4000"
"4cbdc4c1-c6ca-4f9a-9385-9fd2290fdaaa"	"Chalcolithic, Lapui/Yahya VA (Southern Iran)"	"-4000"	"-3500"
"7f819beb-fa7d-4a95-867a-fdcf80ab9d95"	"Chalcolithic, Middle Banesh/Yahya IVC (Southern Iran)"	"-3350"	"-2900"
"32d06955-b1a5-4cc7-9b0f-4459c498a295"	"Chalcolithic, Early-Middle Bakun/Yahya VI-VB (Southern Iran)"	"-5000"	"-4400"
"66e46401-6fd0-4850-a72b-8848bd65bd66"	"Chalcolithic, Early Banesh/Yahya IVC (Southern Iran)"	"-3500"	"-3350"
"d8c35eff-d572-4478-ba53-9b2787a3f149"	"Neolithic, Early/Aceramic/Pre-Pottery B (Levant/Mesopotamia)"	"-8550"	"-6800"
"01410b75-dd66-4096-9718-fe91aacaf79c"	"Neolithic, Early/Aceramic/Pre-Pottery C (South Levant)"	"-6800"	"-6500"
"d40307ee-1d5d-4f9c-b722-0f87ca754250"	"Neolithic, Early/Aceramic/Pre-Pottery A (Levant/Mesopotamia)"	"-10000"	"-8550"
"4d8b7c33-c0ca-4fa4-ab6c-820988699a91"	"Pre-Dynastic, Early (Egypt)"	"-4400"	"-3500"
"feba7c48-521a-4c0a-931e-394804c172e5"	"Pre-Dynastic, Late (Egypt)"	"-3500"	"-3000"
"db4a9b30-8ce7-46a5-bdde-4ecb82666e14"	"Bronze Age, Susa VI/ Old Elamite III (Khuzestan)"	"-1900"	"-1500"
"d5ff01bf-ac40-44df-9f83-f5bcb97b0a86"	"Bronze Age, Middle Elamite (Khuzestan)"	"-1500"	"-1100"
"83f2a63e-92d5-4d62-b239-927cf360190c"	"Bronze Age, Susa V/ Old Elamite II (Khuzestan)"	"-2200"	"-1800"
"c093d051-7bf9-43b7-bdd8-3c1cf4c1a2d1"	"Bronze Age, Susa III/Proto-Elamite (Khuzestan)"	"-3100"	"-2675"
"5f126d6b-6def-4cf8-b482-3bee1a7bd5a8"	"Bronze Age, Susa IV/ Old Elamite I (Khuzestan)"	"-2675"	"-2200"
"40dcc720-d5c8-4ab3-a055-bae2bc46eaaf"	"Islamic, Early (Umayyad/Abbasid) (North Africa)"	"640"	"900"
"b96c1fef-146d-43bd-86bb-e9566bd16dde"	"Islamic, Middle (Fatimid/Zirid/Hammadid/Almoravid/Almohad) (North Africa)"	"900"	"1200"
