"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0207237";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.27169 30.87932, 55.27208 30.87914, 55.27231 30.87951, 55.27195 30.8797, 55.27169 30.87932))"
"EAMENA-0207246";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.32326 32.68233, 53.32361 32.68206, 53.32395 32.68234, 53.32358 32.68266, 53.32326 32.68233))"
"EAMENA-0207242";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.03659 30.73859, 57.03682 30.73836, 57.03707 30.73853, 57.03685 30.73876, 57.03659 30.73859))"
"EAMENA-0207247";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.89758 31.27365, 54.89789 31.27332, 54.89821 31.27353, 54.89791 31.27386, 54.89758 31.27365))"
"EAMENA-0207255";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.2722 31.95102, 54.2725 31.95085, 54.27284 31.95125, 54.27257 31.95144, 54.2722 31.95102))"
"EAMENA-0207257";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.25756 36.36652, 56.25778 36.36616, 56.25822 36.36633, 56.25798 36.36671, 56.25756 36.36652))"
"EAMENA-0207248";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.66312 30.54682, 55.66351 30.54636, 55.66405 30.54668, 55.66369 30.54713, 55.66312 30.54682))"
"EAMENA-0207253";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.12955 30.34714, 56.12987 30.34685, 56.13022 30.34719, 56.12987 30.34744, 56.12955 30.34714))"
"EAMENA-0207252";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.47663 32.15318, 54.4771 32.15283, 54.47757 32.15329, 54.47707 32.15363, 54.47663 32.15318))"
"EAMENA-0207258";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.14339 36.02793, 54.14348 36.02731, 54.14418 36.02734, 54.1441 36.02799, 54.14339 36.02793))"
"EAMENA-0207480";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.36034 36.42877, 55.36067 36.42862, 55.36083 36.4289, 55.36051 36.42902, 55.36034 36.42877))"
"EAMENA-0207481";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.80398 32.32865, 53.8042 32.32896, 53.80379 32.32916, 53.80357 32.32885, 53.80398 32.32865))"
"EAMENA-0207485";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.01779 32.31873, 54.0178 32.31875, 54.0178 32.31878, 54.01781 32.31884, 54.01782 32.31893, 54.01785 32.3191, 54.01785 32.31931, 54.01757 32.31939, 54.01746 32.31931, 54.01739 32.31876, 54.01779 32.31872, 54.01779 32.31873))"
"EAMENA-0207482";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.50051 32.54269, 53.50095 32.54239, 53.50123 32.54271, 53.50079 32.54301, 53.50051 32.54269))"
